"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1263778102.493,118.526,8.850,7.91e-23,2499.995,0.096,4925.630859,0.000,0.000,1.000,"XZhRhlOl2D","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/2AQpnDNCS3/XZhRhlOl2D.png",5.657
1268480610.509,95.999,7.780,6.72e-23,84.440,0.035,94.520531,0.000,0.000,1.000,"luQbnkxyWY","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/DA8hpkNE1c/luQbnkxyWY.png",5.657
1258745569.987,142.363,26.099,9.52e-23,3886.295,0.390,7684.092773,0.000,0.000,1.000,"4FIS49LT8C","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/eN9Mb3sDJI/4FIS49LT8C.png",5.657
1261430122.140,217.741,25.426,9.32e-23,451.078,0.336,830.596863,0.000,0.000,1.000,"3sT3VIKFOV","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/F8igKSz4CZ/3sT3VIKFOV.png",5.657
1256684835.445,217.741,24.558,8.43e-23,459.344,0.219,814.064026,0.000,0.000,1.000,"BdTAn1dVKh","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/3b37AraC4c/BdTAn1dVKh.png",5.657
1260799741.576,333.030,23.608,9.01e-23,1572.036,0.125,3055.573730,0.000,0.000,1.000,"iQg0N9F8LV","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/LWNki0LIfN/iQg0N9F8LV.png",5.657
1268141865.478,269.285,21.353,7.57e-23,846.754,0.188,1584.060181,0.000,0.000,1.000,"TFRS5vn0jw","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/MM44yPCEp5/TFRS5vn0jw.png",5.657
1262662759.709,411.865,19.001,7.51e-23,1280.604,0.078,2451.761475,0.000,0.000,1.000,"t1uIlmcgZN","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/QmXucufFeu/t1uIlmcgZN.png",5.657
1264358385.384,217.741,18.028,6.26e-23,377.633,0.125,645.819336,0.000,0.000,1.000,"TSfRM42Liy","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/EUWJViMUX5/TSfRM42Liy.png",5.657
1267154449.410,217.741,14.877,5.13e-23,696.391,0.063,1257.426147,0.000,0.000,1.000,"pU2S1pP4Dl","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/VW28vYjQqe/pU2S1pP4Dl.png",5.657
1258010768.236,62.976,14.849,1.93e-22,201.134,1.188,342.042023,0.000,0.000,1.000,"g65iDs3ywM","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/05LzEP2wVZ/g65iDs3ywM.png",5.657
1262118345.522,146.339,13.421,1.32e-22,245.453,0.078,442.126251,0.000,0.000,1.000,"15lg73H7sU","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/fVzUs2zxVC/15lg73H7sU.png",5.657
1265810982.200,95.999,12.298,1.02e-22,3779.077,0.218,7466.345215,0.000,0.000,1.000,"LvqPlxAxIo","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/PepVkJRVog/LvqPlxAxIo.png",5.657
1266908996.464,118.526,11.211,9.53e-23,3986.206,3.598,7928.553711,0.000,0.000,1.000,"xT2S3Y03Rq","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/5tJCQ4kLbg/xT2S3Y03Rq.png",5.657
1267249541.175,95.999,10.102,8.84e-23,175.970,0.047,260.132385,0.000,0.000,1.000,"bVJGI9SY1U","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/p7mRoHd4Q6/bVJGI9SY1U.png",5.657
1261830574.706,95.999,10.079,9.72e-23,201.120,0.063,353.460571,0.000,0.000,1.000,"zRkhPM2UE8","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/Fn4iMf9i5O/zRkhPM2UE8.png",5.657
1265767905.353,95.999,8.875,7.27e-23,146.888,0.031,201.967316,0.000,0.000,1.000,"s2IHqv3CQB","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/AfqZK09JNL/s2IHqv3CQB.png",5.657
1260548759.608,95.999,8.683,7.76e-23,175.970,0.047,260.132385,0.000,0.000,1.000,"bAsO1ZGkHi","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/E5Uh6lVf6L/bAsO1ZGkHi.png",5.657
1260657638.524,95.999,8.463,7.88e-23,146.888,0.078,201.967316,0.000,0.000,1.000,"yqrBU6indb","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/YJYYv8vh7o/yqrBU6indb.png",5.657
1263561585.952,217.741,21.797,7.38e-23,372.396,0.188,656.293945,0.000,0.000,1.000,"Wpgc71mSLe","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/6qz9UtXn8D/Wpgc71mSLe.png",5.657
1258811256.135,333.030,20.937,7.81e-23,1035.484,0.125,1982.469360,0.000,0.000,1.000,"nl7jJxyhgO","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/mGzU8Nh97f/nl7jJxyhgO.png",5.657
1261227294.049,269.285,18.286,6.72e-23,372.396,0.188,656.293945,0.000,0.000,1.000,"Ir7JheIaL1","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/N2RI3AFNRN/Ir7JheIaL1.png",5.657
